Name,Album,Artist,Release_date,Length,popularity,acousticness,danceability,energy,instrumentalness,liveness,key,loudness,valence,speechiness,tempo,mode
중독 Overdose,The 2nd Mini Album '중독 Overdose',EXO-K,2014-08-06,205611,0,0.0615,0.498,0.917,0,0.358,5,-1.797,0.652,0.164,112.357,0
COME BACK HOME,CRUSH,2NE1,2014-02-27,229627,0,0.155,0.585,0.84,0,0.638,0,-3.349,0.149,0.0957,149.855,0
"눈,코,입(Eyes, Noes, Lips)",RISE,TAEYANG,2014-06-13,229989,0,0.738,0.631,0.516,0,0.264,0,-5.759,0.254,0.0378,143.777,1
Artificial Grass,PLAY,AKMU,2014-04-07,225911,0,0.226,0.729,0.694,0,0.675,1,-5.294,0.78,0.0358,111.999,1
Red Light,The 3rd Album 'Red Light',f(x),2014-07-11,211900,0,0.000457,0.623,0.924,0.00013,0.0414,7,-3.162,0.775,0.0862,128.947,1
GOTTA BE YOU,CRUSH,2NE1,2014-02-27,231518,0,0.152,0.584,0.901,0,0.184,8,-2.22,0.612,0.155,130.178,0
Hangover,Hangover,PSY,2014-06-09,236773,49,0.00681,0.698,0.813,3.18E-05,0.103,1,-5.171,0.355,0.0395,150.001,1
Red,A Talk,HyunA,2014-01-01,199799,0,0.00287,0.582,0.938,0,0.395,9,-1.829,0.56,0.0658,163.91,1
Let's Love,Let's Love,C-CLOWN,2014-07-09,198826,28,0.00647,0.659,0.931,0,0.389,5,-2.811,0.483,0.0651,102.986,0
Good Luck,Good Luck,Beast,2014-01-01,203346,0,0.103,0.56,0.933,0,0.35,10,-2.776,0.603,0.11,99.966,0
U&I,A’s Doll House - EP,AILEE,2013-07-12,194712,0,0.0346,0.65,0.877,0,0.334,2,-1.918,0.906,0.0398,107.878,0
행복 (Happiness),The 1st Single '행복(Happiness)',Red Velvet,2014-08-01,220986,0,0.323,0.727,0.871,6.21E-06,0.725,10,-3.099,0.681,0.158,121.438,0
