Name,Album,Artist,Release_date,Length,popularity,acousticness,danceability,energy,instrumentalness,liveness,key,loudness,valence,speechiness,tempo,mode
One of Those Nights,FACE - The 1st Album,KEY,2018-11-26,190328,55,0.0689,0.732,0.589,0.0,0.0489,5,-6.223,0.619,0.072,127.968,0
Wind flower,BLUE;S,MAMAMOO,2018-11-29,236816,59,0.656,0.735,0.795,0.0,0.0665,0,-2.918,0.825,0.0518,113.988,1
Starry Night,Yellow Flower,MAMAMOO,2018-03-07,211236,61,0.656,0.58,0.773,0.0,0.112,9,-3.302,0.506,0.05,124.148,0
Egotistic,RED MOON,MAMAMOO,2018-07-16,196018,66,0.315,0.616,0.833,0.0,0.175,3,-3.314,0.595,0.067,97.898,0
NANANA,NANANA,IMFACT,2018-08-16,238560,39,0.567,0.673,0.668,4.52e-06,0.0986,10,-4.838,0.403,0.0498,127.968,0
행복했던 날들이었다 days gone by,Remember Us : Youth Part 2,DAY6,2018-12-10,205149,0,0.00211,0.613,0.874,0.0,0.134,5,-3.712,0.651,0.0335,102.973,0
Simon Says,NCT #127 Regulate - The 1st Album Repackage,NCT 127,2018-11-23,199773,63,0.218,0.653,0.836,0.0,0.0507,9,-6.018,0.569,0.238,151.977,1
Now or Never,SF9 5th Mini Album [ Sensuous ],SF9,2018-07-31,212577,53,0.0488,0.735,0.932,0.0,0.407,6,-3.778,0.771,0.156,120.056,1
LOVE BOMB,From.9,fromis_9,2018-10-10,199966,0,0.126,0.627,0.932,0.0,0.351,6,-1.891,0.85,0.162,154.045,0
Hi High,[+ +],LOONA,2018-08-20,196863,60,0.0357,0.669,0.919,6.81e-06,0.222,7,-2.262,0.538,0.0711,96.955,0
Thank U Soooo Much,#TUSM,Yubin,2018-11-27,224567,0,0.0145,0.775,0.643,0.0,0.0452,7,-7.669,0.761,0.121,123.963,0
Come on,Come on,PinkFantasy,2018-10-24,224487,31,0.0101,0.724,0.813,0.0,0.165,7,-3.906,0.793,0.0616,111.964,1
이리와,이리와,PinkFantasy,2018-10-24,224487,0,0.01,0.724,0.813,0.0,0.165,7,-3.906,0.792,0.0623,111.962,1
Full Moon,Full Moon,Dreamcatcher,2018-01-12,189710,45,0.195,0.589,0.944,0.0,0.381,7,-2.111,0.231,0.11,94.966,1
What,Alone In The City,Dreamcatcher,2018-09-20,205345,48,0.0267,0.544,0.994,0.0,0.0571,11,-2.15,0.528,0.158,145.964,1
Mayday,Nightmare - Escape The ERA,Dreamcatcher,2018-05-10,184546,44,0.0617,0.518,0.939,0.0,0.117,9,-3.443,0.205,0.363,174.023,0
YOU AND I,Nightmare - Escape The ERA,Dreamcatcher,2018-05-10,195015,55,0.0794,0.637,0.827,0.0,0.237,11,-2.669,0.518,0.0718,96.997,0
Missing You,15,BUZZ,2018-12-14,248557,0,0.0804,0.322,0.602,0.0,0.128,2,-3.731,0.142,0.0359,139.377,1
I'm so sick,ONE & SIX,Apink,2018-07-02,199402,58,0.128,0.594,0.81,0.0,0.0324,6,-2.083,0.777,0.0531,123.752,0
나침반,나침반,14U,2018-11-05,210969,29,0.473,0.68,0.892,0.0,0.0799,5,-2.346,0.623,0.0441,101.974,0
Shoot Me,Shoot Me : Youth Part 1,DAY6,2018-06-26,175836,0,0.0683,0.584,0.916,0.0,0.0489,1,-1.396,0.731,0.149,167.934,1
GOODBYE ROAD,NEW KIDS : THE FINAL,iKON,2018-10-01,239104,0,0.0607,0.579,0.852,0.0,0.41,4,-3.358,0.64,0.0521,79.01,1
Mellow Mellow,FREE TRAVEL,BerryGood,2018-08-16,199665,0,0.286,0.733,0.866,0.0,0.369,11,-2.423,0.631,0.0657,120.068,0
Always You,Rise Up,ASTRO,2018-07-24,223723,0,0.159,0.609,0.886,0.0,0.322,2,-3.635,0.601,0.0735,149.979,1
BLACK HEART,BLACK HEART,UNB,2018-06-28,185969,37,0.0199,0.713,0.936,0.0,0.572,5,-2.099,0.721,0.134,125.972,1
Roller Coaster,Offset,CHUNG HA,2018-01-17,212136,61,0.317,0.633,0.907,0.0,0.221,6,-1.459,0.74,0.048,130.001,0
BAAM,Fun to The World,MOMOLAND,2018-06-26,208474,62,0.115,0.725,0.94,0.00431,0.0864,5,-2.32,0.905,0.0435,127.051,0
22CENTURY GIRL,To. Day,fromis_9,2018-06-05,215560,0,0.0388,0.667,0.947,0.0,0.0792,6,-2.245,0.695,0.0483,125.958,1
FLY,ZERO,CROSS GENE,2018-05-08,196351,27,0.126,0.662,0.893,0.0,0.0874,0,-3.703,0.615,0.0392,104.972,1
Lost N Found,Lovelyz 5th Mini Album [SANCTUARY],Lovelyz,2018-11-26,181079,36,0.235,0.681,0.925,0.0,0.0893,5,-0.844,0.609,0.0542,119.912,0
Lullaby,Present : YOU,GOT7,2018-09-17,217486,0,0.0149,0.727,0.889,0.0,0.113,0,-2.747,0.713,0.0879,129.993,1
Shine,Positive,PENTAGON,2018-04-02,198795,67,0.411,0.74,0.804,0.0,0.0578,3,-2.187,0.791,0.0546,150.013,1
"Save Me, Save You",WJ PLEASE?,WJSN,2018-09-19,224930,53,0.054,0.729,0.928,0.0,0.36,7,-3.028,0.618,0.054,115.998,1
favOriTe,[+ +],LOONA,2018-08-20,194253,44,0.00811,0.59,0.941,0.0,0.401,4,-1.497,0.569,0.0552,99.0,0
