Name,Album,Artist,Release_date,Length,popularity,acousticness,danceability,energy,instrumentalness,liveness,key,loudness,valence,speechiness,tempo,mode
I`m a B,Guilty Pleasure,Hwa Sa,2021-11-24,167333,65,0.135,0.711,0.77,8.9e-06,0.18,10,-4.724,0.927,0.0826,139.968,0
MONEY,LALISA,LISA,2021-09-10,168227,62,0.163,0.826,0.553,4.12e-05,0.135,1,-10.121,0.4,0.234,140.037,0
The Feels,The Feels,TWICE,2021-10-01,198053,87,0.0899,0.808,0.903,0.0,0.0816,9,-2.179,0.922,0.0729,120.044,1
Rush Hour,NO LIMIT,Monsta X,2021-11-19,202840,65,0.0367,0.772,0.889,0.0,0.685,5,-2.496,0.705,0.222,112.866,0
Savage,Savage - The 1st Mini Album,aespa,2021-10-05,238143,83,0.124,0.727,0.879,1.17e-05,0.244,9,-1.167,0.671,0.129,146.959,1
LOCO,Crazy in Love,ITZY,2021-09-24,191462,83,0.0109,0.764,0.886,2.21e-05,0.325,1,-3.067,0.497,0.177,102.012,1
Siesta,I AM ME.,Weki Meki,2021-11-18,234893,59,0.106,0.751,0.798,0.0,0.142,11,-3.334,0.635,0.0415,119.951,1
Tamed-Dashed,DIMENSION : DILEMMA,ENHYPEN,2021-10-12,196170,79,0.000253,0.568,0.809,3.33e-05,0.151,11,-3.869,0.709,0.0517,155.029,0
XOXO,XOXO,JEON SOMI,2021-10-29,207650,73,0.0717,0.704,0.608,0.0,0.13,9,-6.339,0.527,0.0314,144.959,1
Rock with you,SEVENTEEN 9th Mini Album 'Attacca',SEVENTEEN,2021-10-22,180360,79,0.0966,0.621,0.816,0.0,0.134,11,-5.242,0.694,0.104,163.966,1
strawberry moon,strawberry moon,IU,2021-10-19,205333,74,0.138,0.475,0.712,0.0,0.0936,6,-3.306,0.443,0.0431,169.796,1
Fire Saturday,Fire Saturday,SECRET NUMBER,2021-10-27,201786,59,0.2,0.735,0.837,0.0,0.0551,9,-1.186,0.618,0.0434,125.926,0
SCIENTIST,Formula of Love: O+T=<3,TWICE,2021-11-12,194600,64,0.0487,0.786,0.858,0.0,0.126,11,-3.74,0.649,0.0675,112.999,1
Deja Vu,ZERO : FEVER Part.3,ATEEZ,2021-09-13,196670,75,0.0517,0.692,0.835,0.0,0.134,6,-4.978,0.566,0.0628,80.017,0
STEREOTYPE,STEREOTYPE,STAYC,2021-09-06,191695,79,0.313,0.605,0.805,0.0,0.659,6,-3.212,0.738,0.0641,148.298,1
Sticker,Sticker - The 3rd Album,NCT 127,2021-09-17,227773,69,0.311,0.527,0.769,0.0,0.742,2,-0.419,0.719,0.28,156.032,1
LALISA,LALISA,LISA,2021-09-10,200689,59,0.0267,0.804,0.652,0.000782,0.118,8,-6.282,0.854,0.0898,150.076,1
Tie a Cherry,ALPHA,CL,2021-10-20,190050,69,0.0752,0.748,0.771,2.45e-05,0.168,10,-4.79,0.624,0.08,158.209,0
LO$ER=LO♡ER,The Chaos Chapter: FIGHT OR ESCAPE,TOMORROW X TOGETHER,2021-08-17,199919,80,0.001,0.644,0.867,0.0,0.105,11,-4.18,0.687,0.0383,124.997,0
MAVERICK,THE BOYZ 3rd Single Album [MAVERICK],THE BOYZ,2021-11-01,208653,69,0.0628,0.728,0.853,0.0,0.132,8,-2.453,0.535,0.0568,103.025,1
