Name,Album,Artist,Release_date,Length,popularity,acousticness,danceability,energy,instrumentalness,liveness,key,loudness,valence,speechiness,tempo,mode
Beautiful Liar,Beautiful Liar,VIXX LR,2015-08-17,233603,0,0.366,0.664,0.882,0,0.284,7,-4.449,0.437,0.0544,137.972,1
Trespass,TRESPASS,Monsta X,2015-05-14,205000,48,0.00394,0.596,0.763,0,0.0672,2,-2.278,0.162,0.0615,99.923,1
Sing For You,"SING FOR YOU - Winter Special Album, 2015",EXO,2015-12-10,235036,0,0.852,0.341,0.288,0,0.363,8,-7.544,0.443,0.0335,170.202,1
Zero For Conduct,Zero For Conduct,Block B - BASTARZ,2015-04-14,193692,48,0.0783,0.579,0.938,0,0.385,1,-3.136,0.632,0.223,157.02,1
DUMB & DUMBER,DEBUT FULL ALBUM 'WELCOME BACK',iKON,2015-12-24,241763,0,0.108,0.729,0.878,0,0.049,1,-4.402,0.438,0.085,129.96,1
¸ö¸Å Mommae (feat. Ugly Duck),Worldwide,Jay Park,2015-11-05,204326,0,0.218,0.745,0.669,0,0.104,9,-5.362,0.681,0.242,94.089,0
I NEED U,"È­¾ç¿¬È­ The Most Beautiful Moment In Life, Pt. 1",BTS,2015-04-29,210986,0,0.0215,0.486,0.88,0,0.24,5,-3.097,0.71,0.0706,158.043,0
BANG BANG BANG,A,BIGBANG,2015-06-01,220238,0,0.0192,0.694,0.832,0,0.355,5,-3.038,0.424,0.0598,135.011,0
Hello Bitches,Hello Bitches,CL,2015-12-05,178177,0,0.00983,0.714,0.884,0,0.439,11,-2.932,0.584,0.113,145.074,1
Super Fly,Super Fly,24K,2015-10-01,191191,40,0.0508,0.65,0.958,0,0.371,11,-2.176,0.62,0.136,96.559,1
Mind Your Own Business,VIVID,AILEE,2015-09-30,205813,42,0.073,0.685,0.921,1.88E-05,0.116,8,-2.357,0.601,0.142,106.95,0
Heart Attack,Heart Attack,AOA,2015-06-22,196522,0,0.137,0.661,0.97,0,0.887,0,-1.802,0.773,0.091,125.993,1
YeY,Ordinary,Beast,2015-07-27,214608,0,0.345,0.611,0.907,0,0.095,2,-1.189,0.715,0.0929,127.961,0
WE LIKE 2 PARTY,A,BIGBANG,2015-06-01,195578,0,0.0142,0.692,0.912,0,0.348,1,-3.323,0.682,0.297,89.963,0
Put My Hands On You,Put My Hands On You,DEAN,2015-09-18,209173,51,0.388,0.611,0.651,0,0.115,10,-6.553,0.719,0.138,105.714,1
HERO,RUSH,Monsta X,2015-09-07,231951,59,0.0754,0.683,0.893,0,0.226,5,-3.086,0.909,0.162,146.082,0
SOBER,D,BIGBANG,2015-07-01,237583,0,0.00676,0.649,0.827,0,0.916,5,-3.465,0.456,0.0838,129.963,1
RHYTHM TA,DEBUT FULL ALBUM 'WELCOME BACK',iKON,2015-12-24,227056,0,0.127,0.764,0.819,0,0.332,2,-4.104,0.603,0.114,81.975,0
Let's not fall in love,E,BIGBANG,2015-08-05,211983,0,0.121,0.685,0.843,0,0.126,0,-4.258,0.637,0.0499,125.029,1
Ah Yeah,AH YEAH,EXID,2015-04-14,199642,51,0.0483,0.762,0.939,0,0.0719,11,-2.688,0.428,0.054,117.986,0
Â¿¾î DOPE,"È­¾ç¿¬È­ The Most Beautiful Moment In Life, Pt. 1",BTS,2015-04-29,240020,0,0.0483,0.619,0.889,0,0.324,10,-3.108,0.622,0.219,77.058,0
Cinderella,2gether,CNBLUE,2015-09-14,201212,0,0.00635,0.68,0.858,0,0.0633,0,-3.126,0.722,0.0686,119.985,1
Oasis (feat. ZICO),Oasis - Single,Crush,2015-07-09,191278,0,0.221,0.457,0.818,0,0.435,4,-4.157,0.822,0.261,96.168,0
BAE BAE,M,BIGBANG,2015-05-01,169482,0,0.0084,0.687,0.63,0,0.208,0,-4.914,0.402,0.0401,140.011,1
I'm Not Sorry,I'm Not Sorry,DEAN,2015-07-07,209095,61,0.000727,0.577,0.751,0,0.102,3,-4.352,0.506,0.0356,129.014,0
Ice Cream Cake,The 1st Mini Album ¡®Ice Cream Cake¡¯,Red Velvet,2015-03-17,191440,0,0.0318,0.58,0.935,0,0.0977,9,-3.348,0.603,0.189,172.023,1
"Born Hater (feat. Beenzino, Verbal Jint, B.I, Mino, Bobby)",EPIK HIGH - SHOEBOX,Epik High,2014-10-22,327126,0,0.0271,0.788,0.776,0,0.313,10,-5.516,0.87,0.315,97.97,0
