Name,Album,Artist,Release_date,Length,popularity,acousticness,danceability,energy,instrumentalness,liveness,key,loudness,valence,speechiness,tempo,mode
Up & Down,AH YEAH,EXID,2015-04-14,189882,60,0.00189,0.714,0.812,1.96E-06,0.229,7,-2.703,0.377,0.0351,112.018,1
LOVE ME RIGHT,LOVE ME RIGHT - The 2nd Album Repackage,EXO,2015-06-03,205128,0,0.00266,0.625,0.83,0,0.188,0,-2.33,0.757,0.0764,110.04,1
ANTHEM,DEBUT FULL ALBUM 'WELCOME BACK',iKON,2015-12-24,205296,0,0.000838,0.723,0.782,0,0.329,8,-4.538,0.557,0.0791,95.001,0
Married To The Music,Married To The Music - The 4th Album Repackage,SHINee,2015-08-03,214689,0,0.107,0.729,0.869,0,0.0721,10,-3.24,0.889,0.0994,114.995,0
¿À´ÃºÎÅÍ ¿ì¸®´Â Me Gustas Tu,Flower Bud,GFRIEND,2015-07-23,220745,0,0.166,0.646,0.923,0,0.0507,8,-1.309,0.703,0.0613,106.086,1
CALL ME BABY,LOVE ME RIGHT - The 2nd Album Repackage,EXO,2015-06-03,211013,0,0.284,0.692,0.886,0,0.341,1,-2.519,0.879,0.0519,100.03,1
4 Walls,4 Walls - The 4th Album,f(x),2015-10-27,207477,0,0.212,0.735,0.849,2.94E-05,0.0608,4,-4.308,0.223,0.129,125.972,0
Boys And Girls,Boys and Girls,ZICO,2015-11-03,200169,44,0.04,0.815,0.75,0,0.0553,1,-3.029,0.611,0.058,103.034,1
LOSER,M,BIGBANG,2015-05-01,219428,0,0.404,0.648,0.681,0,0.329,0,-4.251,0.488,0.0937,89.947,0
RUN,"È­¾ç¿¬È­ The Most Beautiful Moment In Life, Pt. 2",BTS,2015-11-29,236748,0,0.00146,0.554,0.878,0,0.0998,11,-3.02,0.55,0.0513,132.889,0
Ring My Bell,Girl's Day Love Second Album,Girl's Day,2015-07-07,198946,0,0.152,0.456,0.956,0,0.072,4,-2.385,0.811,0.157,198.101,0
You Think,Lion Heart - The 5th Album,Girls' Generation,2015-08-19,188608,0,0.00322,0.697,0.832,0,0.196,4,-3.2,0.286,0.05,100.017,0
Roll Deep,A+,HyunA,2015-08-21,202536,0,0.00511,0.845,0.843,0.000674,0.331,4,-3.178,0.711,0.217,102.107,0
ZUTTER (GD&T.O.P),E,BIGBANG,2015-08-05,194507,0,0.11,0.817,0.399,0,0.122,10,-5.482,0.3,0.076,90.015,0
APOLOGY,DEBUT FULL ALBUM 'WELCOME BACK',iKON,2015-12-24,231627,0,0.243,0.667,0.772,0,0.111,6,-4.153,0.326,0.0851,74.961,1
RUSH,RUSH,Monsta X,2015-09-07,222526,42,0.141,0.776,0.932,0,0.0632,11,-0.488,0.775,0.123,104.988,1
Hot Pink,Hot Pink,EXID,2015-12-11,200729,49,0.357,0.769,0.962,2.32E-06,0.375,1,-1.812,0.708,0.0691,107.008,1
CLOSER,CLOSER,OH MY GIRL,2015-10-08,207413,0,0.132,0.545,0.796,0,0.373,1,-4.075,0.307,0.048,109.9,0
DADDY ft. CL of 2NE1,PSY 7TH ALBUM,PSY,2015-12-01,230635,0,0.0788,0.762,0.87,0,0.137,6,-3.287,0.753,0.128,132.049,0
Dumb Dumb,The Red - The 1st Album,Red Velvet,2015-09-09,202543,0,0.0334,0.778,0.789,2.05E-06,0.225,7,-4.297,0.799,0.0503,145.99,0
Lion Heart,Lion Heart - The 5th Album,Girls' Generation,2015-08-19,224257,0,0.129,0.754,0.788,0.00274,0.0775,2,-3.175,0.961,0.0322,124.992,1
Mansae,SEVENTEEN 2nd Mini Album 'Boys Be',SEVENTEEN,2015-09-10,186874,60,0.0547,0.749,0.955,0,0.112,7,-1.767,0.761,0.0867,111.96,1
View,Married To The Music - The 4th Album Repackage,SHINee,2015-08-03,190821,0,0.04,0.728,0.801,0,0.0415,6,-4.428,0.656,0.0439,123.953,0
SHAKE IT,SHAKE IT,SISTAR,2015-06-22,208506,54,0.0234,0.778,0.957,0,0.715,11,-2.57,0.611,0.0735,118.997,0
ONE MORE STEP,SHE WAS PRETTY OST,SOYOU,2015-11-12,205573,36,0.545,0.636,0.757,0,0.216,11,-4.923,0.539,0.0312,121.014,1
I (Feat. Verbal Jint),I - The 1st Mini Album,TAEYEON,2015-10-07,206038,0,0.0666,0.506,0.788,0,0.324,9,-2.372,0.233,0.0324,89.993,1
Devil,DEVIL - SUPER JUNIOR SPECIAL ALBUM,SUPER JUNIOR,2015-07-16,216584,0,0.133,0.773,0.865,0,0.052,4,-3.027,0.968,0.114,145.003,0
Chained Up,Chained Up,VIXX,2015-11-10,192921,0,0.0955,0.728,0.941,0,0.328,9,-2.044,0.923,0.188,92.073,0
²¨³» ¸Ô¾î¿ä (Eat),²¨³» ¸Ô¾î¿ä (Eat) - Single,Zion.T,2015-05-19,161624,0,0.544,0.628,0.284,5.01E-06,0.121,4,-11.629,0.354,0.102,91.131,1
Okay Dokey,Show Me the Money 4 Episode 6,MINO,2015-08-29,248202,65,0.00544,0.828,0.61,0,0.158,1,-4.23,0.311,0.0528,126.011,1
Congratulations,The Day,DAY6,2015-09-07,229293,0,0.0466,0.31,0.702,0,0.0395,3,-4.077,0.578,0.0539,179.851,1
Bad,Reality,INFINITE,2015-07-13,216244,51,0.24,0.689,0.858,0,0.134,0,-3.051,0.458,0.116,99.994,1
IF YOU,D,BIGBANG,2015-07-01,264280,0,0.524,0.669,0.447,0,0.167,1,-6.271,0.17,0.0305,141.808,1
´Ï°¡ ÇÏ¸é If You Do,MAD,GOT7,2015-09-29,210834,51,0.0557,0.692,0.886,0,0.217,8,-1.642,0.757,0.0766,129.957,1
Eureka (Feat. Zion.T),GALLERY,ZICO,2015-12-07,183995,0,0.0298,0.736,0.806,0,0.0847,7,-2.709,0.763,0.328,119.936,1
´Ù¸¥ ³²ÀÚ ¸»°í ³Ê Only You,Colors,miss A,2015-03-30,198008,52,0.0527,0.638,0.767,0,0.276,0,-3.155,0.406,0.132,168.076,1
Sweet Girl,Sweet Girl,B1A4,2015-08-10,248986,0,0.103,0.647,0.87,0,0.0588,0,-4.249,0.722,0.0305,116.969,1
¿ì¸®Áý My House,No.5,2:00 PM,2015-06-15,187644,59,0.00152,0.557,0.74,0,0.0663,6,-3.686,0.781,0.236,176.021,0
OMGT,MADTOWN 1st Digital Single 'OMGT',MADTOWN,2015-11-12,185270,36,0.0595,0.733,0.821,0,0.0672,7,-1.737,0.774,0.0736,95.997,1
Automatic,Ice Cream Cake - The 1st Mini Album,Red Velvet,2015-03-17,210160,50,0.0996,0.598,0.604,0,0.387,5,-6.406,0.707,0.252,179.938,0
PRAY,I WILL,FTISLAND,2015-03-23,250419,35,0.000271,0.348,0.956,0,0.362,9,-2.511,0.418,0.0826,173.786,1
Flower (Acoustic ver.),Yesterday,XIA,2015-10-19,245854,27,0.485,0.28,0.621,0,0.0968,7,-4.226,0.252,0.0356,156.156,1
Um Oh Ah Yeh,Pink Funky,MAMAMOO,2015-06-19,214087,0,0.128,0.728,0.893,0,0.167,7,-1.896,0.453,0.0476,104.977,1
Adore U,SEVENTEEN 1st Mini Album ¡¯17 CARAT¡¯,SEVENTEEN,2015-05-29,186649,60,0.00281,0.533,0.851,1.57E-06,0.14,7,-3.435,0.77,0.201,203.802,1
Ah-Choo,Lovelyz8,Lovelyz,2015-10-01,218474,51,0.315,0.729,0.898,0,0.107,5,-1.029,0.517,0.0391,126.977,1
Ma First (feat. Giriboy),MY,Jang Hyun Seung,2015-05-08,202230,0,0.0663,0.803,0.785,0,0.421,6,-4.827,0.829,0.15,107.943,0
µü ÁÁ¾Æ(Just right),Just right,GOT7,2015-07-13,222398,63,0.233,0.76,0.781,0,0.106,11,-2.881,0.736,0.0641,95.97,0
Insane,VIVID,AILEE,2015-09-30,209146,35,0.19,0.793,0.673,0,0.522,6,-4.913,0.583,0.0383,135.997,1
EOEO,The 1st Mini Album 'EOEO',UNIQ,2015-04-24,187452,47,0.248,0.679,0.862,0,0.167,9,-3.037,0.718,0.168,145.966,0
CUPID,OH MY GIRL,OH MY GIRL,2015-04-20,207242,35,0.0571,0.639,0.891,2.21E-06,0.22,7,-2.741,0.902,0.0687,119.95,1
OOH-AHHÇÏ°Ô Like OOH-AHH,THE STORY BEGINS,TWICE,2015-10-20,215091,0,0.241,0.72,0.876,0.000101,0.381,6,-1.166,0.694,0.0776,141.997,1
Na Hago Nolja,«Ê«Ï«´«Î«ë«¸«ã (ìíÜâÚï),CROSS GENE,2015-04-13,211093,35,0.171,0.629,0.943,0,0.334,11,-3.484,0.91,0.0593,130.061,0
Catch Me If You Can - Korean Version,Catch Me If You Can,Girls' Generation,2015-04-10,225173,50,0.0154,0.714,0.852,0,0.135,9,-2.76,0.565,0.274,133.989,0
