Name,Album,Artist,Release_date,Length,popularity,acousticness,danceability,energy,instrumentalness,liveness,key,loudness,valence,speechiness,tempo,mode
Monster,EX'ACT - The 3rd Album,EXO,2016-06-09,221341,68,0.0066,0.618,0.76,0,0.127,6,-4.312,0.541,0.0596,150,1
러시안 룰렛 Russian Roulette,Russian Roulette - The 3rd Mini Album,Red Velvet,2016-09-07,211243,69,0.055,0.726,0.903,0.000225,0.158,7,-2.277,0.958,0.0357,129.986,0
Chewing Gum,Chewing Gum,NCT DREAM,2016-08-27,197462,58,0.113,0.774,0.8,0,0.0782,3,-3.426,0.931,0.0472,103.977,0
WINDY DAY,WINDY DAY,OH MY GIRL,2016,249682,43,0.066,0.623,0.938,0,0.187,11,-3.37,0.63,0.0403,135.884,0
LIAR LIAR,PINK OCEAN,OH MY GIRL,2016-03-28,194413,37,0.193,0.694,0.92,0,0.284,1,-2.458,0.793,0.0468,100.073,1
And July,And July,HEIZE,2016-07-18,226128,57,0.0401,0.734,0.852,0,0.196,2,-3.85,0.787,0.0916,98.504,1
1 of 1,1 of 1 - The 5th Album,SHINee,2016-09-29,203884,48,0.0635,0.694,0.879,0,0.0478,5,-3.765,0.84,0.0515,108.045,0
Hate,Act. 7,4Minute,2016-02-01,216333,55,0.0474,0.686,0.902,1.02E-06,0.201,6,-3.78,0.615,0.163,149.96,0
Sting,Sting,Stellar,2016-01-18,212835,44,0.0832,0.712,0.898,2.12E-06,0.0779,7,-5.059,0.816,0.0445,104.982,1
Love Paint (every afternoon),The 5th Mini Album 'CANVAS',NU'EST,2016-08-29,185518,40,0.222,0.619,0.949,0,0.483,4,-2.653,0.596,0.2,147.024,0
Blood Sweat & Tears,Wings,BTS,2016-10-10,217051,75,0.0244,0.583,0.885,0,0.357,0,-3.571,0.601,0.106,92.959,0
Burning Up (Fire),The Most Beautiful Moment in Life: Young Forever,BTS,2016-05-02,203351,73,0.00227,0.627,0.706,0,0.122,10,-3.201,0.536,0.0597,99.93,0
BOOMBAYAH,SQUARE ONE,BLACKPINK,2016-08-08,240793,77,0.00268,0.661,0.836,0,0.497,5,-3.164,0.396,0.059,124.952,0
Bonnie & Clyde,130 Mood : TRBL,DEAN,2016-03-25,224606,57,0.426,0.642,0.642,7.74E-06,0.672,3,-5.774,0.475,0.0725,94.958,0
소방차 Fire Truck,NCT #127 - The 1st Mini Album,NCT 127,2016-07-10,178565,59,0.116,0.724,0.976,1.30E-05,0.352,1,-3.279,0.626,0.0602,110.006,1
Very Very Very,miss me?,I.O.I,2016-10-17,203640,61,0.136,0.744,0.963,1.86E-06,0.0836,7,-1.525,0.788,0.0616,102.985,1
Dream Girls,I.O.I 1st Mini Album 'Chrysalis',I.O.I,2016-05-04,218194,40,0.0321,0.723,0.968,0,0.337,0,-1.512,0.837,0.147,139.914,1
변했어,변했어,Brave Girls,2016-02-16,193640,38,0.231,0.776,0.847,0,0.326,5,-3.027,0.569,0.043,122.978,0
하이힐,HIGH HEELS,Brave Girls,2016-06-27,179973,42,0.175,0.717,0.974,0,0.363,11,-2.205,0.967,0.09,132.02,0
하드캐리 Hard Carry,FLIGHT LOG : TURBULENCE,GOT7,2016-09-27,193578,57,0.0148,0.7,0.873,0,0.343,1,-2.901,0.612,0.0869,99.972,1
FRI. SAT. SUN,FRI. SAT. SUN,Dalshabet,2016-09-29,182655,31,0.173,0.619,0.809,0,0.31,7,-2.283,0.748,0.0679,149.947,1
Secret,THE SECRET,WJSN,2016-08-17,222581,51,0.167,0.692,0.969,0,0.301,7,-3.213,0.762,0.0678,111.495,0
Drip Drop,Press It - The 1st Album,TAEMIN,2016-02-23,205240,47,0.0695,0.716,0.869,0,0.0602,3,-3.926,0.512,0.278,111.972,0
DYNAMITE,VIXX 2016 CONCEPTION KER Special Package,VIXX,2016-11-21,210485,40,0.149,0.757,0.821,0,0.162,6,-2.918,0.742,0.115,113.955,0
괜찮아 괜찮아 Fantasy,Fantasy,Fei,2016-07-21,206323,38,0.325,0.771,0.683,0,0.0997,3,-4.96,0.567,0.239,115.013,0
CHEER UP,Page Two,TWICE,2016-04-25,208853,68,0.139,0.551,0.885,0,0.114,6,-1.489,0.509,0.124,172.95,1
TT,Twicecoaster: Lane 1,TWICE,2016-10-24,212986,69,0.0525,0.708,0.852,0.00016,0.399,2,-4.398,0.396,0.0851,129.946,1
Why So Lonely,Why So Lonely,Wonder Girls,2016-07-05,206706,57,0.111,0.634,0.726,0,0.111,7,-5.086,0.809,0.133,155.161,1
Good Luck,AOA 4th Mini Album Good Luck,AOA,2016-05-16,187024,48,0.0745,0.603,0.876,0,0.447,5,-3.217,0.887,0.25,187.936,0
D?calcomanie,MEMORY,MAMAMOO,2016-11-07,215997,59,0.113,0.648,0.859,0,0.448,10,-2.384,0.541,0.0472,115.434,1
You’re the Best,Melting,MAMAMOO,2016-02-26,230914,50,0.0395,0.683,0.86,0,0.239,5,-3.243,0.703,0.0471,122.03,0
Hey Mama!,Hey Mama!? The 1st Mini Album,EXO-CBX,2016-10-31,199796,53,0.0662,0.532,0.859,0,0.684,1,-4.106,0.934,0.142,118.919,1
I Like That,INSANE LOVE,SISTAR,2016-06-21,221371,55,0.0952,0.564,0.867,0,0.737,7,-3.137,0.882,0.0881,154.882,0
ViViD,HeeJin,LOONA,2016-10-05,201537,50,0.263,0.71,0.877,0,0.465,4,-3.67,0.747,0.151,105.966,0
I'll Be There,HyunJin,LOONA,2016-11-17,188558,46,0.259,0.725,0.799,0,0.081,8,-3.995,0.728,0.0985,112.683,1
"소년, 소녀",HaSeul,LOONA,2016-12-15,187649,48,0.392,0.602,0.579,0,0.0947,4,-4.657,0.216,0.0306,116.019,0
나를 찾아줘,물들다 : Colored,Jun Hyo Seong,2016-03-28,190812,35,0.0236,0.661,0.914,0,0.134,5,-1.994,0.646,0.0344,124.019,0
다녀가요,HyunJin,LOONA,2016-11-17,209110,50,0.802,0.549,0.643,0,0.0932,6,-4.422,0.26,0.0356,139.924,1
Color,COLOR,MelodyDay,2016-07-01,190756,18,0.292,0.784,0.917,0,0.188,4,-0.602,0.767,0.12,98.026,0
Lucky One,EX'ACT - The 3rd Album,EXO,2016-06-09,227485,54,0.169,0.731,0.787,0,0.0892,1,-3.95,0.799,0.055,120.951,1
