Name,Album,Artist,Release_date,Length,popularity,acousticness,danceability,energy,instrumentalness,liveness,key,loudness,valence,speechiness,tempo,mode
Gangnam Style (강남스타일),Gangnam Style (강남스타일),PSY	,2012-07-15,219493,73,0.00417,0.727,0.937,0,0.091,11,-2.871,0.749,0.29,132.087,0
Alone,ALONE,SISTAR,2012-04-12,206266,53,0.263,0.769,0.961,0,0.146,4,-2.316,0.89,0.0371,114.982,0
Cherry Blossom Ending,Busker Busker 1st,Busker Busker,2012-03-29,260517,47,0.739,0.621,0.669,0,0.138,9,-5.303,0.663,0.0312,119.947,1
Loving U,Summer Special 'Loving U',SISTAR,2012-06-28,217965,49,0.188,0.687,0.857,0,0.306,9,-2.084,0.906,0.0753,124.999,1
Fantastic Baby,ALIVE,BIGBANG,2012-02-29,230573,56,0.002,0.725,0.841,0,0.0652,2,-3.924,0.582,0.0545,130.013,1
I LOVE YOU,I Love You,2NE1,2012-07-05,237138,41,0.0242,0.711,0.837,0,0.531,0,-4.277,0.563,0.038,125.074,0
"Love, At First",Busker Busker 2nd,Busker Busker,2013-09-25,242109,30,0.333,0.522,0.526,0,0.111,2,-6.907,0.345,0.0375,161.903,1
Heaven,Heaven,AILEE,2012-02-09,211330,51,0.702,0.43,0.814,2.52E-06,0.125,7,-3.667,0.406,0.123,179.988,1
Every End of the Day,The Spring of Twenty,IU,2012-05-11,242207,49,0.0813,0.65,0.79,0,0.311,10,-4.482,0.387,0.0294,108.939,1
First Love,Busker Busker 1st,Busker Busker,2012-03-29,209761,34,0.267,0.639,0.844,1.36E-06,0.108,0,-4.031,0.685,0.0603,119.914,1
Lovey-Dovey,Funky Town,T-ARA,2012-01-03,215248,50,0.0704,0.796,0.742,0,0.0632,6,-4.117,0.545,0.0631,128.063,0
Twinkle,Twinkle' Mini Album,Girls' Generation-TTS,2012-04-30,206731,49,0.239,0.809,0.883,0,0.296,1,-2.1,0.962,0.0498,110.034,0
Memory Of The Wind,Principle Of My Soul,Naul,2012-09-20,308186,52,0.633,0.279,0.43,0.00082,0.107,8,-7.412,0.147,0.0308,133.443,1
The Person Who Once Loved Me,LACRIMOSO,Huh Gak,2012-04-03,238968,29,0.78,0.447,0.375,0,0.0947,11,-5.829,0.263,0.0315,127.063,1
Yeosu Night Sea,Busker Busker 1st,Busker Busker,2012-03-29,279909,42,0.348,0.239,0.498,7.83E-06,0.0958,4,-6.182,0.227,0.042,199.19,1
Monster,Special Edition 'Still Alive',BIGBANG,2012-06-03,231293,52,0.00584,0.643,0.786,0,0.369,0,-4.251,0.462,0.0414,128.003,1
I Need You,I Need You,Huh Gak&Zia,2012-08-21,222772,32,0.415,0.614,0.761,0,0.0906,7,-4.612,0.76,0.07,91.935,1
Blue,ALIVE,BIGBANG,2012-02-29,233098,57,0.0595,0.608,0.706,0,0.056,7,-7.275,0.357,0.0853,124.985,1
Voice (featGarie of LEESSANG),GOOD BOY,Baek Ji Young,2012-05-17,253100,26,0.536,0.661,0.851,0,0.151,7,-4.271,0.42,0.0748,98.006,1
Like this,Wonder Party,Wonder Girls,2012-06-03,192737,26,0.0105,0.703,0.864,0,0.0747,1,-4.241,0.712,0.309,194.085,1
Please don’t…,The 3rd Album Part.1,K.Will,2012-10-11,212976,52,0.44,0.698,0.694,3.96E-06,0.308,11,-5.5,0.489,0.0321,94.998,0
YOU&I,Last Fantasy,IU,2011-11-29,241839,54,0.286,0.636,0.9,1.47E-06,0.0982,6,-3.568,0.686,0.0571,134.004,1
"1, 2, 3, 4","1,2,3,4",LeeHi,2012-10-29,214273,45,0.368,0.905,0.649,0,0.0881,5,-4.116,0.955,0.0473,115.962,1
I will show you,Invitation,AILEE,2012-10-16,232333,58,0.262,0.606,0.872,0,0.125,7,-2.114,0.226,0.0519,129.965,0
???????? ???? You Deserve Better (Beautiful Enough),10년 동안의 오독 I 10 Years of Misinterpretation Part I,Verbal Jint,2012-06-21,225880,30,0.277,0.586,0.69,0,0.0825,8,-5.106,0.625,0.261,79.551,0
DAY BY DAY,DAY BY DAY,T-ARA,2012-07-03,209880,53,0.702,0.757,0.637,8.83E-06,0.209,1,-3.137,0.675,0.0465,117.961,0
애상,윤일상 작곡가 21주년 기념 앨범 I'm 21 Pt.1,10cm,2012-01-05,227955,31,0.687,0.754,0.38,0,0.133,4,-4.2,0.669,0.0438,123.891,1
What Would Have Been? (Feat. Lena Park),"PSY SIX RULES, Pt. 1",PSY,2012-07-15,243963,40,0.193,0.865,0.802,0,0.099,3,-3.853,0.804,0.0383,105.971,1
Electric Shock,Electric Shock - The 2nd Mini Album,f(x),2012-06-10,196946,55,0.0927,0.757,0.898,7.85E-06,0.493,5,-1.632,0.537,0.0327,125.029,0
Passionate Goodbye (Feat. Sung Si Kyung),"PSY SIX RULES, Pt. 1",PSY,2012-07-15,208972,32,0.0189,0.584,0.899,0,0.0574,11,-3.208,0.734,0.139,129.882,0
illa illa,My First June,JUNIEL,2012-05-22,216163,39,0.186,0.535,0.795,0,0.107,9,-2.257,0.588,0.0391,158.019,1
Crayon,One of a Kind,G-DRAGON,2012-09-15,196920,51,0.046,0.718,0.934,0,0.687,11,-3.787,0.308,0.169,132.017,0
Bloom,Talk about S.,Gain,2012-10-05,227683,42,0.0735,0.8,0.947,0,0.327,1,-1.97,0.76,0.1,123.975,1
Trouble Maker,Trouble Maker,Trouble Maker,2011-12-01,219637,58,0.0826,0.838,0.805,3.77E-06,0.0778,10,-2.723,0.952,0.0541,115.026,0
LIPSTICK,LIPSTICK,Orange Caramel,2012-09-12,201221,42,0.00689,0.805,0.876,5.34E-05,0.345,1,-4.049,0.641,0.13,125.939,1
"Officially missing you,too",re;code Episode I,Geeks,2012-11-01,223712,41,0.12,0.686,0.831,0,0.0823,7,-4.488,0.579,0.0481,100.013,1
Bloom,Busker Busker 1st,Busker Busker,2012-03-29,202831,32,0.263,0.701,0.873,0,0.0954,11,-4.622,0.847,0.105,119.996,1
Only One,Only One - The 7th Album,BoA,2012-07-22,217085,55,0.136,0.641,0.645,0.000145,0.145,0,-6.54,0.546,0.0366,90.027,1
Without You,DYNAMICDUO 6th DIGILOG 2/2,Dynamicduo,2012-01-04,239793,25,0.344,0.647,0.632,0,0.0995,1,-6.446,0.734,0.203,84.717,0
Missing You (Feat. Kim Yuna),One of a Kind,G-DRAGON,2012-09-15,207089,51,0.138,0.742,0.792,0,0.0704,5,-4.713,0.78,0.0651,123.001,1
???????? Good Morning,10년 동안의 오독 I 10 Years of Misinterpretation Part I,Verbal Jint,2012-06-21,208253,27,0.188,0.726,0.772,0,0.0664,1,-4.639,0.591,0.139,91.952,1
춥다 It’s Cold,99,Epik High,2012-10-19,250806,45,0.514,0.759,0.659,0,0.0957,6,-5.695,0.422,0.0408,111.989,1
Touch,Hush,miss A,2013-11-06,237652,29,0.00975,0.837,0.804,0.00011,0.333,0,-4.682,0.848,0.0288,116.995,1
너도 나처럼,F.Scott Fitzgerald's Way Of Love,2:00 AM,2012-03-12,228453,23,0.759,0.588,0.48,0,0.125,6,-6.591,0.139,0.0305,127.916,1
Volume Up,Volume Up,4Minute,2012-04-09,230008,46,0.014,0.641,0.877,0.000131,0.0792,3,-2.726,0.454,0.0337,130.045,0
Ideal Type,Busker Busker 1st,Busker Busker,2012-03-29,203948,20,0.228,0.618,0.867,0,0.224,2,-3.795,0.86,0.111,164.88,0
That XX,One of a Kind,G-DRAGON,2012-09-15,199629,57,0.533,0.764,0.47,0,0.133,4,-5.642,0.801,0.0433,119.886,0
Beautiful Night,Midnight Sun,Beast,2012-07-22,218566,49,0.0441,0.652,0.941,0,0.317,10,-1.957,0.685,0.0564,123.03,0
